AbsT,RelH
2016-03-29 14:35:50,45.32899999999999
2016-03-29 14:35:55,45.32899999999999
2016-03-29 14:36:00,45.32899999999999
2016-03-29 14:36:05,45.32899999999999
2016-03-29 14:36:10,45.32899999999999
2016-03-29 14:36:15,45.32899999999999
2016-03-29 14:36:20,45.32899999999999
2016-03-29 14:36:25,45.37
2016-03-29 14:36:30,45.37
2016-03-29 14:36:35,45.37
2016-03-29 14:36:40,45.41
2016-03-29 14:36:45,45.41
2016-03-29 14:36:50,45.41
2016-03-29 14:36:55,45.41
2016-03-29 14:37:00,45.41
2016-03-29 14:37:05,45.41
2016-03-29 14:37:10,45.41
2016-03-29 14:37:15,45.41
2016-03-29 14:37:20,45.41
2016-03-29 14:37:25,45.45
2016-03-29 14:37:30,45.45
2016-03-29 14:37:35,45.49100000000001
2016-03-29 14:37:40,45.49100000000001
2016-03-29 14:37:45,45.49100000000001
2016-03-29 14:37:50,45.49100000000001
2016-03-29 14:37:55,45.4705
2016-03-29 14:38:00,45.49100000000001
2016-03-29 14:38:05,45.49100000000001
2016-03-29 14:38:10,45.49100000000001
2016-03-29 14:38:15,45.49100000000001
2016-03-29 14:38:20,45.45
2016-03-29 14:38:25,45.45
2016-03-29 14:38:30,45.4705
2016-03-29 14:38:35,45.49100000000001
2016-03-29 14:38:40,45.49100000000001
2016-03-29 14:38:45,45.49100000000001
2016-03-29 14:38:50,45.4705
2016-03-29 14:38:55,45.49100000000001
2016-03-29 14:39:00,45.49100000000001
2016-03-29 14:39:05,45.49100000000001
2016-03-29 14:39:10,45.49100000000001
2016-03-29 14:39:15,45.41
2016-03-29 14:39:20,45.41
2016-03-29 14:39:25,45.41
2016-03-29 14:39:30,45.43
2016-03-29 14:39:35,45.41
2016-03-29 14:39:40,45.45
2016-03-29 14:39:45,45.45
2016-03-29 14:39:50,45.45
2016-03-29 14:39:55,45.45
2016-03-29 14:40:05,45.45
2016-03-29 14:40:10,45.45
2016-03-29 14:40:15,45.45
2016-03-29 14:40:25,45.4705
2016-03-29 14:40:30,45.49100000000001
2016-03-29 14:40:35,45.49100000000001
2016-03-29 14:40:40,45.49100000000001
2016-03-29 14:40:45,45.49100000000001
2016-03-29 14:40:50,45.49100000000001
2016-03-29 14:40:55,45.49100000000001
2016-03-29 14:41:00,45.49100000000001
2016-03-29 14:41:05,45.49100000000001
2016-03-29 14:41:10,45.49100000000001
2016-03-29 14:41:15,45.49100000000001
2016-03-29 14:41:20,45.49100000000001
2016-03-29 14:41:25,45.49100000000001
2016-03-29 14:41:30,45.49100000000001
2016-03-29 14:41:35,45.49100000000001
2016-03-29 14:41:40,45.49100000000001
2016-03-29 14:41:45,45.49100000000001
2016-03-29 14:41:50,45.49100000000001
2016-03-29 14:41:55,45.49100000000001
2016-03-29 14:42:00,45.49100000000001
2016-03-29 14:42:05,45.532
2016-03-29 14:42:10,45.532
2016-03-29 14:42:15,45.532
2016-03-29 14:42:20,45.532
2016-03-29 14:42:25,45.532
2016-03-29 14:42:30,45.55199999999999
2016-03-29 14:43:05,45.571999999999996
2016-03-29 14:43:10,45.571999999999996
2016-03-29 14:43:15,45.532
2016-03-29 14:43:20,45.571999999999996
2016-03-29 14:43:25,45.571999999999996
2016-03-29 14:43:30,45.55199999999999
2016-03-29 14:43:35,45.49100000000001
2016-03-29 14:43:40,45.49100000000001
2016-03-29 14:43:45,45.49100000000001
2016-03-29 14:43:50,45.49100000000001
2016-03-29 14:43:55,45.5115
2016-03-29 14:44:00,45.532
2016-03-29 14:44:05,45.532
2016-03-29 14:44:10,45.532
2016-03-29 14:44:15,45.571999999999996
2016-03-29 14:44:20,45.571999999999996
2016-03-29 14:44:25,45.571999999999996
2016-03-29 14:44:30,45.571999999999996
2016-03-29 14:44:35,45.571999999999996
2016-03-29 14:44:40,45.571999999999996
2016-03-29 14:44:45,45.571999999999996
2016-03-29 14:44:50,45.571999999999996
2016-03-29 14:44:55,45.571999999999996
2016-03-29 14:45:00,45.571999999999996
2016-03-29 14:45:05,45.611999999999995
2016-03-29 14:45:10,45.611999999999995
2016-03-29 14:45:15,45.611999999999995
2016-03-29 14:45:20,45.611999999999995
2016-03-29 14:45:25,45.571999999999996
2016-03-29 14:45:30,45.592
2016-03-29 14:45:35,45.571999999999996
2016-03-29 14:45:40,45.611999999999995
2016-03-29 14:45:45,45.611999999999995
2016-03-29 14:45:50,45.592
2016-03-29 14:45:55,45.571999999999996
2016-03-29 14:46:00,45.571999999999996
2016-03-29 14:46:05,45.571999999999996
2016-03-29 14:46:10,45.571999999999996
2016-03-29 14:46:15,45.571999999999996
2016-03-29 14:46:20,45.571999999999996
2016-03-29 14:46:25,45.571999999999996
2016-03-29 14:46:30,45.55199999999999
2016-03-29 14:46:35,45.571999999999996
2016-03-29 14:46:40,45.571999999999996
2016-03-29 14:46:45,45.571999999999996
2016-03-29 14:46:50,45.571999999999996
2016-03-29 14:46:55,45.532
2016-03-29 14:47:00,45.571999999999996
2016-03-29 14:47:05,45.571999999999996
2016-03-29 14:47:10,45.571999999999996
2016-03-29 14:47:15,45.571999999999996
2016-03-29 14:47:20,45.571999999999996
2016-03-29 14:47:25,45.571999999999996
2016-03-29 14:47:35,45.571999999999996
2016-03-29 14:47:40,45.611999999999995
2016-03-29 14:47:45,45.571999999999996
2016-03-29 14:47:50,45.611999999999995
2016-03-29 14:47:55,45.611999999999995
2016-03-29 14:48:00,45.611999999999995
2016-03-29 14:48:05,45.611999999999995
2016-03-29 14:48:10,45.611999999999995
2016-03-29 14:48:15,45.611999999999995
2016-03-29 14:48:20,45.611999999999995
2016-03-29 14:48:25,45.653
2016-03-29 14:48:30,45.653
2016-03-29 14:48:35,45.653
2016-03-29 14:48:40,45.653
2016-03-29 14:48:45,45.653
2016-03-29 14:48:50,45.653
2016-03-29 14:48:55,45.653
2016-03-29 14:49:00,45.653
2016-03-29 14:49:05,45.653
2016-03-29 14:49:10,45.653
2016-03-29 14:49:15,45.653
2016-03-29 14:49:20,45.653
2016-03-29 14:49:25,45.693999999999996
2016-03-29 14:49:30,45.693999999999996
2016-03-29 14:49:35,45.693999999999996
2016-03-29 14:49:40,45.693999999999996
2016-03-29 14:49:45,45.733999999999995
2016-03-29 14:49:50,45.693999999999996
2016-03-29 14:49:55,45.653
2016-03-29 14:50:00,45.653
2016-03-29 14:50:05,45.653
2016-03-29 14:50:10,45.653
2016-03-29 14:50:15,45.653
2016-03-29 14:50:20,45.653
2016-03-29 14:50:25,45.653
2016-03-29 14:50:30,45.653
2016-03-29 14:50:35,45.6735
2016-03-29 14:50:40,45.693999999999996
2016-03-29 14:50:45,45.693999999999996
2016-03-29 14:50:50,45.733999999999995
2016-03-29 14:50:55,45.733999999999995
2016-03-29 14:51:00,45.733999999999995
2016-03-29 14:51:05,45.733999999999995
2016-03-29 14:51:10,45.733999999999995
2016-03-29 14:51:15,45.733999999999995
2016-03-29 14:51:20,45.733999999999995
2016-03-29 14:51:25,45.733999999999995
2016-03-29 14:51:30,45.693999999999996
2016-03-29 14:51:35,45.733999999999995
2016-03-29 14:51:40,45.733999999999995
2016-03-29 14:51:45,45.733999999999995
2016-03-29 14:51:50,45.733999999999995
2016-03-29 14:51:55,45.733999999999995
2016-03-29 14:52:00,45.733999999999995
2016-03-29 14:52:05,45.693999999999996
2016-03-29 14:52:10,45.733999999999995
2016-03-29 14:52:15,45.733999999999995
2016-03-29 14:52:20,45.733999999999995
2016-03-29 14:52:25,45.733999999999995
2016-03-29 14:52:30,45.733999999999995
2016-03-29 14:52:35,45.733999999999995
2016-03-29 14:52:40,45.733999999999995
2016-03-29 14:52:45,45.733999999999995
2016-03-29 14:52:50,45.733999999999995
2016-03-29 14:52:55,45.733999999999995
2016-03-29 14:53:00,45.733999999999995
2016-03-29 14:53:05,45.733999999999995
2016-03-29 14:53:10,45.733999999999995
2016-03-29 14:53:20,45.733999999999995
2016-03-29 14:53:25,45.733999999999995
2016-03-29 14:54:00,45.733999999999995
2016-03-29 14:54:05,45.733999999999995
2016-03-29 14:54:10,45.733999999999995
2016-03-29 14:54:15,45.733999999999995
2016-03-29 14:54:20,45.733999999999995
2016-03-29 14:54:25,45.733999999999995
2016-03-29 14:54:30,45.733999999999995
2016-03-29 14:54:35,45.733999999999995
2016-03-29 14:54:40,45.733999999999995
2016-03-29 14:54:45,45.733999999999995
2016-03-29 14:54:50,45.733999999999995
2016-03-29 14:54:55,45.733999999999995
2016-03-29 14:55:00,45.733999999999995
2016-03-29 14:55:05,45.733999999999995
2016-03-29 14:55:10,45.733999999999995
2016-03-29 14:55:15,45.733999999999995
2016-03-29 14:55:20,45.733999999999995
2016-03-29 14:55:25,45.733999999999995
2016-03-29 14:55:30,45.733999999999995
2016-03-29 14:55:35,45.733999999999995
2016-03-29 14:55:40,45.733999999999995
2016-03-29 14:55:45,45.733999999999995
2016-03-29 14:55:50,45.733999999999995
2016-03-29 14:55:55,45.733999999999995
2016-03-29 14:56:00,45.733999999999995
2016-03-29 14:56:05,45.733999999999995
2016-03-29 14:56:10,45.733999999999995
2016-03-29 14:56:15,45.733999999999995
2016-03-29 14:56:20,45.733999999999995
2016-03-29 14:56:25,45.733999999999995
2016-03-29 14:56:30,45.733999999999995
2016-03-29 14:56:35,45.733999999999995
2016-03-29 14:56:40,45.733999999999995
2016-03-29 14:56:45,45.733999999999995
2016-03-29 14:56:50,45.733999999999995
2016-03-29 14:56:55,45.733999999999995
2016-03-29 14:57:00,45.733999999999995
2016-03-29 14:57:05,45.733999999999995
2016-03-29 14:57:10,45.733999999999995
2016-03-29 14:57:15,45.733999999999995
2016-03-29 14:57:20,45.733999999999995
2016-03-29 14:57:25,45.733999999999995
2016-03-29 14:57:30,45.714
