,AbsT,Temp,RelH,L1,L2,Occ,Act,Door,Win
230,2016-03-15 09:06:35,20.52,42.332,190.0,510.6,0.0,0.0,0,0
231,2016-03-15 09:06:40,20.525,42.332,190.0,515.2,0.0,0.0,0,0
232,2016-03-15 09:06:45,20.53,42.332,191.43,510.6,0.0,0.0,0,0
233,2016-03-15 09:06:50,20.54,42.332,190.0,515.2,0.0,0.0,0,0
234,2016-03-15 09:06:55,20.52,42.332,190.0,510.6,0.0,0.0,0,0
235,2016-03-15 09:07:00,20.525,42.35250000000001,192.855,515.2,0.0,0.0,0,0
236,2016-03-15 09:07:05,20.53,42.332,191.43,515.2,0.0,0.0,0,0
237,2016-03-15 09:07:10,20.54,42.373,190.0,515.2,0.0,0.0,0,0
238,2016-03-15 09:07:15,20.54,42.332,190.0,515.2,0.0,0.0,0,0
239,2016-03-15 09:07:20,20.54,42.332,190.0,515.2,0.0,0.0,0,0
240,2016-03-15 09:07:25,20.535,42.332,191.43,517.5,0.0,0.0,0,0
241,2016-03-15 09:07:30,20.54,42.332,187.14,515.2,0.0,0.0,0,0
242,2016-03-15 09:07:35,20.54,42.332,190.0,515.2,0.0,0.0,0,0
243,2016-03-15 09:07:40,20.54,42.332,191.43,519.8,0.0,0.0,0,0
244,2016-03-15 09:07:45,20.54,42.332,191.43,515.2,0.0,0.0,0,0
245,2016-03-15 09:07:50,20.53,42.332,190.0,515.2,0.0,0.0,0,0
246,2016-03-15 09:07:55,20.54,42.332,190.0,515.2,0.0,0.0,0,0
247,2016-03-15 09:08:00,20.54,42.332,190.715,515.2,0.0,0.0,0,0
248,2016-03-15 09:08:05,20.54,42.332,191.43,515.2,0.0,0.0,0,0
249,2016-03-15 09:08:10,20.54,42.332,190.0,515.2,0.0,0.0,0,0
250,2016-03-15 09:08:15,20.54,42.332,191.43,515.2,0.0,0.0,0,0
251,2016-03-15 09:08:20,20.545,42.332,190.715,510.6,0.0,0.0,0,0
252,2016-03-15 09:08:25,20.54,42.332,192.86,510.6,0.0,0.0,0,0
253,2016-03-15 09:08:30,20.54,42.332,191.43,515.2,0.0,0.0,0,0
254,2016-03-15 09:08:35,20.54,42.332,191.43,515.2,0.0,0.0,0,0
255,2016-03-15 09:08:40,20.54,42.332,190.0,512.9000000000001,0.0,0.0,0,0
256,2016-03-15 09:08:45,20.54,42.373,192.86,506.0,0.0,0.0,0,0
257,2016-03-15 09:08:50,20.54,42.332,190.0,510.6,0.0,0.0,0,0
258,2016-03-15 09:08:55,20.54,42.332,190.0,510.6,0.0,0.0,0,0
259,2016-03-15 09:09:00,20.55,42.35250000000001,190.715,512.9000000000001,0.0,0.0,0,0
260,2016-03-15 09:09:05,20.54,42.332,192.86,510.6,0.0,0.0,0,0
261,2016-03-15 09:09:10,20.55,42.373,190.0,515.2,0.0,0.0,0,0
262,2016-03-15 09:09:15,20.54,42.332,190.0,515.2,0.0,0.0,0,0
263,2016-03-15 09:09:20,20.54,42.35250000000001,191.43,519.8,0.0,0.0,0,0
264,2016-03-15 09:09:25,20.54,42.332,190.0,506.0,0.0,0.0,0,0
265,2016-03-15 09:09:30,20.55,42.373,191.43,529.0,0.0,0.0,0,0
266,2016-03-15 09:09:35,20.54,42.332,190.0,515.2,0.0,0.0,0,0
267,2016-03-15 09:09:40,20.54,42.35250000000001,190.715,515.2,0.0,0.0,0,0
268,2016-03-15 09:09:45,20.54,42.332,191.43,515.2,0.0,0.0,0,0
269,2016-03-15 09:09:50,20.54,42.332,190.0,506.0,0.0,0.0,0,0
270,2016-03-15 09:09:55,20.54,42.332,188.57,510.6,0.0,0.0,0,0
271,2016-03-15 09:10:00,20.545,42.332,190.715,512.9000000000001,0.0,0.0,0,0
272,2016-03-15 09:10:05,20.54,42.332,190.0,515.2,0.0,0.0,0,0
273,2016-03-15 09:10:10,20.55,42.332,190.0,510.6,0.0,0.0,0,0
274,2016-03-15 09:10:15,20.54,42.332,191.43,515.2,0.0,0.0,0,0
275,2016-03-15 09:10:20,20.55,42.332,190.715,512.9000000000001,0.0,0.0,0,0
276,2016-03-15 09:10:25,20.56,42.332,191.43,519.8,0.0,0.0,0,0
277,2016-03-15 09:10:30,20.55,42.332,188.57,506.0,0.0,0.0,0,0
278,2016-03-15 09:10:35,20.56,42.332,190.0,515.2,0.0,0.0,0,0
279,2016-03-15 09:10:40,20.55,42.332,190.715,515.2,0.0,0.0,0,0
280,2016-03-15 09:10:45,20.56,42.332,190.0,515.2,0.0,0.0,0,0
281,2016-03-15 09:10:50,20.56,42.332,191.43,515.2,0.0,0.0,0,0
282,2016-03-15 09:10:55,20.56,42.332,191.43,515.2,0.0,0.0,0,0
283,2016-03-15 09:11:00,20.56,42.332,191.43,519.8,0.0,0.0,0,0
284,2016-03-15 09:11:05,20.54,42.332,191.43,510.6,0.0,0.0,0,0
285,2016-03-15 09:11:10,20.56,42.332,192.86,524.4,0.0,0.0,0,0
286,2016-03-15 09:11:15,20.55,42.332,191.43,515.2,0.0,0.0,0,0
287,2016-03-15 09:11:20,20.56,42.332,191.43,519.8,0.0,0.0,0,0
288,2016-03-15 09:11:25,20.55,42.332,191.43,519.8,0.0,0.0,0,0
289,2016-03-15 09:11:30,20.57,42.332,191.43,519.8,0.0,0.0,0,0
290,2016-03-15 09:11:35,20.57,42.332,191.43,519.8,0.0,0.0,0,0
291,2016-03-15 09:11:40,20.555,42.332,191.43,524.4,0.0,0.0,0,0
292,2016-03-15 09:11:45,20.57,42.332,192.86,524.4,0.0,0.0,0,0
293,2016-03-15 09:11:50,20.58,42.332,192.86,524.4,0.0,0.0,0,0
294,2016-03-15 09:11:55,20.58,42.332,192.86,524.4,0.0,0.0,0,0
295,2016-03-15 09:12:00,20.56,42.332,193.575,524.4,0.0,0.0,0,0
296,2016-03-15 09:12:05,20.57,42.332,191.43,529.0,0.0,0.0,0,0
297,2016-03-15 09:12:10,20.57,42.332,192.86,524.4,0.0,0.0,0,0
298,2016-03-15 09:12:15,20.58,42.332,194.29,524.4,0.0,0.0,0,0
299,2016-03-15 09:12:20,20.575,42.332,192.145,529.0,0.0,0.0,0,0
300,2016-03-15 09:12:25,20.57,42.332,192.86,547.4,0.0,0.0,0,0
301,2016-03-15 09:12:30,20.58,42.332,194.29,529.0,0.0,0.0,0,0
302,2016-03-15 09:12:35,20.58,42.332,191.43,529.0,0.0,0.0,0,0
303,2016-03-15 09:12:40,20.58,42.332,192.86,531.3,0.0,0.0,0,0
304,2016-03-15 09:12:45,20.58,42.332,192.86,529.0,0.0,0.0,0,0
305,2016-03-15 09:12:50,20.58,42.332,192.86,529.0,0.0,0.0,0,0
