AbsT,Temp
2016-03-15 11:31:20,21.12
2016-03-15 11:31:25,21.11
2016-03-15 11:31:30,21.11
2016-03-15 11:31:35,21.11
2016-03-15 11:31:40,21.11
2016-03-15 11:31:45,21.1
2016-03-15 11:31:50,21.115
2016-03-15 11:31:55,21.11
2016-03-15 11:32:00,21.12
2016-03-15 11:32:05,21.11
2016-03-15 11:32:10,21.105
2016-03-15 11:32:15,21.11
2016-03-15 11:32:20,21.1
2016-03-15 11:32:25,21.11
2016-03-15 11:32:30,21.105
2016-03-15 11:32:35,21.11
2016-03-15 11:32:40,21.1
2016-03-15 11:32:45,21.12
2016-03-15 11:32:50,21.1
2016-03-15 11:32:55,21.11
2016-03-15 11:33:00,21.11
2016-03-15 11:33:05,21.1
2016-03-15 11:33:10,21.11
2016-03-15 11:33:15,21.11
2016-03-15 11:33:20,21.1
2016-03-15 11:33:25,21.1
2016-03-15 11:33:30,21.105
2016-03-15 11:33:35,21.1
2016-03-15 11:33:40,21.11
2016-03-15 11:33:45,21.12
2016-03-15 11:33:50,21.11
2016-03-15 11:33:55,21.1
2016-03-15 11:34:00,21.11
2016-03-15 11:34:05,21.11
2016-03-15 11:34:10,21.11
2016-03-15 11:34:15,21.105
2016-03-15 11:34:20,21.1
2016-03-15 11:34:25,21.11
2016-03-15 11:34:30,21.115
2016-03-15 11:34:35,21.1
2016-03-15 11:34:40,21.1
2016-03-15 11:34:45,21.1
2016-03-15 11:34:50,21.11
2016-03-15 11:34:55,21.105
2016-03-15 11:35:00,21.11
2016-03-15 11:35:05,21.11
2016-03-15 11:35:10,21.12
2016-03-15 11:35:15,21.115
2016-03-15 11:35:20,21.11
2016-03-15 11:35:25,21.12
2016-03-15 11:35:30,21.115
2016-03-15 11:35:35,21.11
2016-03-15 11:35:40,21.11
2016-03-15 11:35:45,21.11
2016-03-15 11:35:50,21.1
2016-03-15 11:35:55,21.1
2016-03-15 11:36:00,21.1
2016-03-15 11:36:05,21.11
2016-03-15 11:36:10,21.12
2016-03-15 11:36:15,21.11
2016-03-15 11:36:20,21.11
2016-03-15 11:36:25,21.12
2016-03-15 11:36:30,21.12
2016-03-15 11:36:35,21.12
2016-03-15 11:36:40,21.12
2016-03-15 11:36:45,21.12
2016-03-15 11:36:50,21.125
2016-03-15 11:36:55,21.12
2016-03-15 11:37:00,21.12
2016-03-15 11:37:05,21.13
2016-03-15 11:37:10,21.12
2016-03-15 11:37:15,21.12
2016-03-15 11:37:20,21.12
2016-03-15 11:37:25,21.12
2016-03-15 11:37:30,21.13
2016-03-15 11:37:35,21.12
2016-03-15 11:37:40,21.12
2016-03-15 11:37:45,21.13
2016-03-15 11:37:50,21.125
2016-03-15 11:37:55,21.13
2016-03-15 11:38:00,21.12
2016-03-15 11:38:05,21.13
2016-03-15 11:38:10,21.13
2016-03-15 11:38:15,21.13
2016-03-15 11:38:20,21.13
2016-03-15 11:38:25,21.13
2016-03-15 11:38:30,21.13
2016-03-15 11:38:35,21.14
2016-03-15 11:38:40,21.13
2016-03-15 11:38:45,21.13
2016-03-15 11:38:50,21.125
2016-03-15 11:38:55,21.13
2016-03-15 11:39:00,21.12
2016-03-15 11:39:05,21.13
2016-03-15 11:39:10,21.135
2016-03-15 11:39:15,21.14
2016-03-15 11:39:20,21.14
2016-03-15 11:39:25,21.14
2016-03-15 11:39:30,21.135
2016-03-15 11:39:35,21.14
2016-03-15 11:39:40,21.13
2016-03-15 11:39:45,21.14
2016-03-15 11:39:50,21.13
2016-03-15 11:39:55,21.13
2016-03-15 11:40:00,21.13
2016-03-15 11:40:05,21.14
2016-03-15 11:40:10,21.14
2016-03-15 11:40:15,21.13
2016-03-15 11:40:20,21.14
2016-03-15 11:40:25,21.14
2016-03-15 11:40:30,21.135
2016-03-15 11:40:35,21.14
2016-03-15 11:40:40,21.14
2016-03-15 11:40:45,21.14
2016-03-15 11:40:50,21.14
2016-03-15 11:40:55,21.14
2016-03-15 11:41:00,21.14
2016-03-15 11:41:05,21.15
2016-03-15 11:41:10,21.14
2016-03-15 11:41:15,21.15
2016-03-15 11:41:20,21.15
2016-03-15 11:41:25,21.15
2016-03-15 11:41:30,21.14
2016-03-15 11:41:35,21.14
2016-03-15 11:41:40,21.15
2016-03-15 11:41:45,21.14
2016-03-15 11:41:50,21.14
2016-03-15 11:41:55,21.145
2016-03-15 11:42:00,21.14
2016-03-15 11:42:05,21.15
2016-03-15 11:42:10,21.16
2016-03-15 11:42:15,21.145
2016-03-15 11:42:20,21.15
2016-03-15 11:42:25,21.14
2016-03-15 11:42:30,21.145
2016-03-15 11:42:35,21.14
2016-03-15 11:42:40,21.15
2016-03-15 11:42:45,21.15
2016-03-15 11:42:50,21.155
2016-03-15 11:42:55,21.15
2016-03-15 11:43:00,21.14
2016-03-15 11:43:05,21.14
2016-03-15 11:43:10,21.15
2016-03-15 11:43:15,21.145
2016-03-15 11:43:20,21.16
2016-03-15 11:43:25,21.14
2016-03-15 11:43:30,21.14
2016-03-15 11:43:35,21.14
2016-03-15 11:43:40,21.15
2016-03-15 11:43:45,21.14
2016-03-15 11:43:50,21.14
2016-03-15 11:43:55,21.145
2016-03-15 11:44:00,21.15
2016-03-15 11:44:05,21.16
2016-03-15 11:44:10,21.15
2016-03-15 11:44:15,21.145
2016-03-15 11:44:20,21.14
2016-03-15 11:44:25,21.14
2016-03-15 11:44:30,21.145
2016-03-15 11:44:35,21.15
2016-03-15 11:44:40,21.16
2016-03-15 11:44:45,21.14
2016-03-15 11:44:50,21.15
2016-03-15 11:44:55,21.15
2016-03-15 11:45:00,21.14
2016-03-15 11:45:05,21.15
2016-03-15 11:45:10,21.15
2016-03-15 11:45:15,21.15
2016-03-15 11:45:20,21.16
2016-03-15 11:45:25,21.15
2016-03-15 11:45:30,21.16
2016-03-15 11:45:35,21.15
2016-03-15 11:45:40,21.15
2016-03-15 11:45:45,21.14
2016-03-15 11:45:50,21.16
2016-03-15 11:45:55,21.15
2016-03-15 11:46:00,21.15
2016-03-15 11:46:05,21.15
2016-03-15 11:46:10,21.16
2016-03-15 11:46:15,21.15
2016-03-15 11:46:20,21.15
2016-03-15 11:46:25,21.15
2016-03-15 11:46:30,21.16
2016-03-15 11:46:35,21.16
2016-03-15 11:46:40,21.15
2016-03-15 11:46:45,21.16
2016-03-15 11:46:50,21.155
2016-03-15 11:46:55,21.16
2016-03-15 11:47:00,21.16
2016-03-15 11:47:05,21.14
2016-03-15 11:47:10,21.16
2016-03-15 11:47:15,21.16
2016-03-15 11:47:20,21.16
2016-03-15 11:47:25,21.15
2016-03-15 11:47:30,21.16
2016-03-15 11:47:35,21.16
2016-03-15 11:47:40,21.16
2016-03-15 11:47:45,21.16
2016-03-15 11:47:50,21.16
2016-03-15 11:47:55,21.16
2016-03-15 11:48:00,21.16
2016-03-15 11:48:05,21.17
2016-03-15 11:48:10,21.17
2016-03-15 11:48:15,21.165
2016-03-15 11:48:20,21.16
2016-03-15 11:48:25,21.17
2016-03-15 11:48:30,21.17
2016-03-15 11:48:35,21.175
2016-03-15 11:48:40,21.17
2016-03-15 11:48:45,21.17
2016-03-15 11:48:50,21.16
2016-03-15 11:48:55,21.165
2016-03-15 11:49:00,21.17
2016-03-15 11:49:05,21.16
2016-03-15 11:49:10,21.16
2016-03-15 11:49:15,21.17
2016-03-15 11:49:20,21.16
2016-03-15 11:49:25,21.17
2016-03-15 11:49:30,21.165
2016-03-15 11:49:35,21.16
2016-03-15 11:49:40,21.17
2016-03-15 11:49:45,21.17
