AbsT,0
2016-03-15 09:22:10,False
2016-03-15 09:22:15,False
2016-03-15 09:22:20,False
2016-03-15 09:22:25,False
2016-03-15 09:22:30,False
2016-03-15 09:22:35,False
2016-03-15 09:22:40,False
2016-03-15 09:22:45,False
2016-03-15 09:22:50,False
2016-03-15 09:22:55,False
2016-03-15 09:23:00,False
2016-03-15 09:23:05,False
2016-03-15 09:23:10,False
2016-03-15 09:23:15,False
2016-03-15 09:23:20,False
2016-03-15 09:23:25,False
2016-03-15 09:23:30,False
2016-03-15 09:23:35,False
2016-03-15 09:23:40,False
2016-03-15 09:23:45,True
2016-03-15 09:23:50,True
2016-03-15 09:23:55,True
2016-03-15 09:24:00,True
2016-03-15 09:24:05,True
2016-03-15 09:24:10,True
2016-03-15 09:24:15,True
2016-03-15 09:24:20,True
2016-03-15 09:24:25,True
2016-03-15 09:24:30,True
2016-03-15 09:24:35,True
2016-03-15 09:24:40,True
2016-03-15 09:24:45,True
2016-03-15 09:24:50,True
2016-03-15 09:24:55,True
2016-03-15 09:25:00,True
2016-03-15 09:25:05,True
2016-03-15 09:25:10,True
2016-03-15 09:25:15,True
2016-03-15 09:25:20,True
2016-03-15 09:25:25,True
2016-03-15 09:25:30,True
2016-03-15 09:25:35,True
2016-03-15 09:25:40,True
2016-03-15 09:25:45,True
2016-03-15 09:25:50,True
2016-03-15 09:25:55,True
2016-03-15 09:26:00,True
2016-03-15 09:26:05,True
2016-03-15 09:26:10,True
2016-03-15 09:26:15,True
2016-03-15 09:26:20,True
2016-03-15 09:26:25,True
2016-03-15 09:26:30,True
2016-03-15 09:26:35,True
2016-03-15 09:26:40,True
2016-03-15 09:26:45,True
2016-03-15 09:26:50,True
2016-03-15 09:26:55,True
2016-03-15 09:27:00,True
2016-03-15 09:27:05,True
2016-03-15 09:27:10,True
2016-03-15 09:27:15,True
2016-03-15 09:27:20,True
2016-03-15 09:27:25,True
2016-03-15 09:27:30,True
2016-03-15 09:27:35,True
2016-03-15 09:27:40,False
2016-03-15 09:27:45,False
2016-03-15 09:27:50,False
2016-03-15 09:27:55,False
2016-03-15 09:28:00,False
2016-03-15 09:28:05,False
2016-03-15 09:28:10,False
2016-03-15 09:28:15,False
2016-03-15 09:28:20,False
2016-03-15 09:28:25,False
2016-03-15 09:28:30,False
2016-03-15 09:28:35,False
2016-03-15 09:28:40,False
2016-03-15 09:28:45,False
2016-03-15 09:28:50,False
2016-03-15 09:28:55,True
2016-03-15 09:29:00,True
2016-03-15 09:29:05,True
2016-03-15 09:29:10,True
2016-03-15 09:29:15,True
2016-03-15 09:29:20,True
2016-03-15 09:29:25,True
2016-03-15 09:29:30,True
2016-03-15 09:29:35,True
2016-03-15 09:29:40,True
2016-03-15 09:29:45,True
2016-03-15 09:29:50,True
2016-03-15 09:29:55,True
2016-03-15 09:30:00,True
2016-03-15 09:30:05,True
2016-03-15 09:30:10,True
2016-03-15 09:30:15,True
2016-03-15 09:30:20,True
2016-03-15 09:30:25,True
2016-03-15 09:30:30,True
2016-03-15 09:30:35,True
2016-03-15 09:30:40,True
2016-03-15 09:30:45,True
2016-03-15 09:30:50,True
2016-03-15 09:30:55,True
2016-03-15 09:31:00,True
2016-03-15 09:31:05,True
2016-03-15 09:31:10,True
2016-03-15 09:31:15,True
2016-03-15 09:31:20,True
2016-03-15 09:31:25,True
2016-03-15 09:31:30,True
2016-03-15 09:31:35,True
2016-03-15 09:31:40,True
2016-03-15 09:31:45,True
2016-03-15 09:31:50,True
2016-03-15 09:31:55,True
2016-03-15 09:32:00,True
2016-03-15 09:32:05,True
2016-03-15 09:32:10,True
2016-03-15 09:32:15,True
2016-03-15 09:32:20,True
2016-03-15 09:32:25,True
2016-03-15 09:32:30,True
2016-03-15 09:32:35,True
2016-03-15 09:32:40,True
2016-03-15 09:32:45,True
2016-03-15 09:32:50,True
2016-03-15 09:32:55,True
2016-03-15 09:33:00,True
2016-03-15 09:33:05,True
2016-03-15 09:33:10,True
2016-03-15 09:33:15,True
2016-03-15 09:33:20,True
2016-03-15 09:33:25,True
2016-03-15 09:33:30,True
2016-03-15 09:33:35,True
2016-03-15 09:33:40,True
2016-03-15 09:33:45,True
2016-03-15 09:33:50,True
2016-03-15 09:33:55,True
2016-03-15 09:34:00,True
2016-03-15 09:34:05,True
2016-03-15 09:34:10,True
2016-03-15 09:34:15,True
2016-03-15 09:34:20,True
2016-03-15 09:34:25,True
2016-03-15 09:34:30,True
2016-03-15 09:34:35,True
2016-03-15 09:34:40,True
2016-03-15 09:34:45,False
2016-03-15 09:34:50,False
2016-03-15 09:34:55,False
2016-03-15 09:35:00,False
2016-03-15 09:35:05,False
2016-03-15 09:35:10,False
2016-03-15 09:35:15,False
2016-03-15 09:35:20,False
2016-03-15 09:35:25,False
2016-03-15 09:35:30,True
2016-03-15 09:35:35,True
2016-03-15 09:35:40,True
2016-03-15 09:35:45,True
2016-03-15 09:35:50,True
2016-03-15 09:35:55,True
2016-03-15 09:36:00,True
2016-03-15 09:36:05,True
2016-03-15 09:36:10,True
2016-03-15 09:36:15,True
2016-03-15 09:36:20,True
2016-03-15 09:36:25,True
2016-03-15 09:36:30,True
2016-03-15 09:36:35,True
2016-03-15 09:36:40,True
2016-03-15 09:36:45,True
2016-03-15 09:36:50,True
2016-03-15 09:36:55,True
2016-03-15 09:37:00,True
2016-03-15 09:37:05,True
2016-03-15 09:37:10,True
2016-03-15 09:37:15,True
2016-03-15 09:37:20,True
2016-03-15 09:37:25,True
2016-03-15 09:37:30,True
2016-03-15 09:37:35,True
2016-03-15 09:37:40,True
2016-03-15 09:37:45,True
2016-03-15 09:37:50,True
2016-03-15 09:37:55,True
2016-03-15 09:38:00,True
2016-03-15 09:38:05,True
2016-03-15 09:38:10,True
2016-03-15 09:38:15,True
2016-03-15 09:38:20,True
2016-03-15 09:38:25,True
2016-03-15 09:38:30,True
2016-03-15 09:38:35,True
2016-03-15 09:38:40,True
2016-03-15 09:38:45,True
2016-03-15 09:38:50,True
2016-03-15 09:38:55,True
2016-03-15 09:39:00,True
2016-03-15 09:39:05,True
2016-03-15 09:39:10,True
2016-03-15 09:39:15,True
2016-03-15 09:39:20,True
2016-03-15 09:39:25,True
2016-03-15 09:39:30,False
2016-03-15 09:39:35,False
2016-03-15 09:39:40,False
2016-03-15 09:39:45,False
2016-03-15 09:39:50,False
2016-03-15 09:39:55,False
2016-03-15 09:40:00,False
