AbsT,status
2016-03-15 09:19:32.414,Off
2016-03-15 09:19:36.028,Off
2016-03-15 09:19:40.268,Off
2016-03-15 09:19:44.633,Off
2016-03-15 09:19:48.498,Off
2016-03-15 09:19:52.113,Off
2016-03-15 09:19:56.478,Off
2016-03-15 09:19:59.968,Off
2016-03-15 09:20:04.457,Off
2016-03-15 09:20:08.566,Off
2016-03-15 09:20:12.546,Off
2016-03-15 09:20:16.911,Off
2016-03-15 09:20:20.276,Off
2016-03-15 09:20:24.520,Off
2016-03-15 09:20:28.005,Off
2016-03-15 09:20:32.120,Off
2016-03-15 09:20:37.485,Off
2016-03-15 09:20:40.350,Off
2016-03-15 09:20:43.964,Off
2016-03-15 09:20:48.580,Off
2016-03-15 09:20:52.694,Off
2016-03-15 09:20:56.434,Off
2016-03-15 09:21:00.049,Off
2016-03-15 09:21:04.789,Off
2016-03-15 09:21:08.529,Off
2016-03-15 09:21:12.518,Off
2016-03-15 09:21:16.777,Off
2016-03-15 09:21:20.124,Off
2016-03-15 09:21:24.238,Off
2016-03-15 09:21:28.371,Off
2016-03-15 09:21:31.968,Off
2016-03-15 09:21:36.583,Off
2016-03-15 09:21:40.823,Off
2016-03-15 09:21:44.562,Off
2016-03-15 09:21:48.178,Off
2016-03-15 09:21:52.293,Off
2016-03-15 09:21:56.532,Off
2016-03-15 09:22:00.272,Off
2016-03-15 09:22:04.655,Off
2016-03-15 09:22:09.002,Off
2016-03-15 09:22:12.634,Off
2016-03-15 09:22:16.107,Off
2016-03-15 09:22:20.596,Off
2016-03-15 09:22:24.586,Off
2016-03-15 09:22:28.951,Off
2016-03-15 09:22:31.941,Off
2016-03-15 09:22:36.431,Off
2016-03-15 09:22:40.171,Off
2016-03-15 09:22:44.661,Off
2016-03-15 09:22:48.401,Off
2016-03-15 09:22:53.506,Off
2016-03-15 09:22:56.246,Off
2016-03-15 09:23:00.110,Off
2016-03-15 09:23:04.726,Off
2016-03-15 09:23:08.215,Off
2016-03-15 09:23:12.455,Off
2016-03-15 09:23:15.944,Off
2016-03-15 09:23:20.936,Off
2016-03-15 09:23:24.050,Off
2016-03-15 09:23:28.040,Off
2016-03-15 09:23:32.279,Off
2016-03-15 09:23:36.894,Off
